"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-23","33","H,,S","39",",,W","28",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-24","35","H,,S","40",",,W","33",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-25","39","H,,S","45",",,W","32",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-26","28","H,,S","32",",,W","24",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-27","25","H,,S","27",",,W","20",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-28","24","H,,S","33",",,W","17",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-29","25","H,,S","37",",,W","17",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-30","35","H,,S","38",",,W","19",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-31","21","H,,S","27",",,W","14",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-01","27","H,,S","36",",,W","21",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-02","32","H,,S","35",",,W","15",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-03","20","H,,S","26",",,W","14",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-04","31","H,,S","39",",,W","22",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-05","33","H,,S","39",",,W","15",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-06","19","H,,S","27",",,W","13",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-07","30","H,,S","37",",,W","25",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-08","37","H,,S","42",",,W","29",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-09","28","H,,S","29",",,W","26",",,W"
